================================================================================
 MOTION PREDICTION V8 ??TEMPORAL GRU + TRAJ REFINER + LATE-HORIZON LOSS
 Data Root:       E:\motion_planning\data\processed\prediction_pt_85k
 Output Dir:      .\checkpoints\v8_hardcls
 Resume Checkpoint: .\checkpoints\v6_temporal\best_error_score.pth
 Epochs:          20 (Batch: 32, LR: 0.0001)
 Neighbors/Map:   16 hist / 64 map pts
 Loss extras:     time_weight_end=2.5, weight_fde=0.75, cls=0.8, hard_cls=0.5
 aWTA:            tau 0.5->0.25, Top-2->1
 Workers/Prefetch: 8/4
 AMP:             bf16 (torch.bfloat16)
 Compute Device:  cuda (NVIDIA GeForce RTX 5080)
================================================================================
-> Detected 1 window(s) per pack
-> Train Scenes: 229653 | Val Scenes: 25725 | Train windows: 229653 | Val windows: 25725
-> Model params: 1.514M
-> Loading compatible weights from: .\checkpoints\v6_temporal\best_error_score.pth
-> Loaded 50/50 tensors (new layers stay random/zero)
-> Optimizer: AdamW fused=True
 [Epoch 03/20] Step [02400/7177] | Loss: 21.1705 | minADE6: 0.831m | minADE1: 1.505m | 9.4 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [02600/7177] | Loss: 19.3709 | minADE6: 0.830m | minADE1: 1.485m | 9.6 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [02800/7177] | Loss: 20.0699 | minADE6: 0.811m | minADE1: 1.460m | 9.4 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [03000/7177] | Loss: 20.9492 | minADE6: 0.825m | minADE1: 1.495m | 9.3 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [03200/7177] | Loss: 21.1833 | minADE6: 0.823m | minADE1: 1.502m | 9.1 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [03400/7177] | Loss: 22.1348 | minADE6: 0.823m | minADE1: 1.483m | 9.1 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [03600/7177] | Loss: 20.0058 | minADE6: 0.825m | minADE1: 1.487m | 9.1 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [03800/7177] | Loss: 21.2853 | minADE6: 0.817m | minADE1: 1.474m | 9.3 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [04000/7177] | Loss: 20.0808 | minADE6: 0.821m | minADE1: 1.482m | 9.3 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [04200/7177] | Loss: 20.1510 | minADE6: 0.815m | minADE1: 1.483m | 8.8 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
